Student Name,Roll No,ID,Mobile Number,College Name,Address,Email ID,Passing Year,Branch,Trade
Ryan Suri,R0001,ID00001,9178692985,"Raju, Kala and Mallick College","02/42, Chadha Marg, Bhiwani-245289",csoni@sandhu-sodhi.org,2025,Electronics,Power Systems
Kanav Shere,R0002,ID00002,9665863979,Sura PLC College,"10/971, D’Alia Chowk, Ichalkaranji-431293",yasmin74@gmail.com,2025,Information Technology,VLSI
Zeeshan Chaudhary,R0003,ID00003,9393193637,Suri-Kapur College,"82/179, Kakar Circle, Rourkela-957399",devananvi@gmail.com,2022,Information Technology,Structural Design
Oorja Guha,R0004,ID00004,9857644050,Tata-Bera College,"87/034, Chawla Marg, Muzaffarpur 893277",keerjivin@yahoo.com,2023,Information Technology,Thermodynamics
Jivika Vora,R0005,ID00005,9250461916,Chada Inc College,"12/41, Saran Path, Ichalkaranji-936464",zara10@bhattacharyya.com,2024,Electrical,Thermodynamics
Tanya Golla,R0006,ID00006,9882850678,Thaman and Sons College,"H.No. 822, Sathe Marg, Surendranagar Dudhrej 079952",saanvi24@master.com,2023,Mechanical,Power Systems
Mishti Balay,R0007,ID00007,9785034007,Hora-Sehgal College,"H.No. 705, Dani Circle, Dibrugarh 792317",ambleehsaan@gmail.com,2020,Electronics,Software Engineering
Prisha Divan,R0008,ID00008,9591362265,Loyal-Sant College,"H.No. 520, Butala Chowk, Moradabad-426061",bray@gmail.com,2023,Civil,Networking
Piya Dugar,R0009,ID00009,9852642743,"Batta, Dixit and Kant College","67/708, Comar Marg, Hazaribagh 159501",ryan76@yahoo.com,2024,Civil,Thermodynamics
Kashvi Kant,R0010,ID00010,9715343623,Keer PLC College,"54/242, Chopra Path, Arrah-455996",drishya04@gmail.com,2024,Electronics,VLSI
Zain Wason,R0011,ID00011,9813458742,Mahal-Karnik College,"93, Chauhan Nagar, Sangli-Miraj & Kupwad 183885",mdhar@yahoo.com,2020,Mechanical,Thermodynamics
Neelofar Sengupta,R0012,ID00012,9567443356,"Hans, Lalla and Kari College","42, Sule Nagar, Madanapalle-864560",himmatcontractor@singh.biz,2021,Electronics,VLSI
Zoya Ahuja,R0013,ID00013,9599243353,Venkataraman Inc College,"H.No. 36, Dhillon Zila, Silchar-714898",vardaniyavirk@hotmail.com,2021,Electronics,Software Engineering
Devansh Chaudhari,R0014,ID00014,9945682860,Seshadri LLC College,"H.No. 573, Kibe, Imphal 546979",zainalad@hotmail.com,2022,Civil,Software Engineering
Siya Manda,R0015,ID00015,9359136412,Krishnamurthy-Kamdar College,"68/251, Divan Street, Deoghar-822559",psarkar@barman-verma.net,2021,Electronics,Networking
Emir Tata,R0016,ID00016,9547611341,Brahmbhatt and Sons College,"54/352, Shroff Circle, Tadipatri 000000",ramaswamysaanvi@sangha.com,2022,Civil,Power Systems
Heer Apte,R0017,ID00017,9243390378,Khurana-Soman College,"45/505, Goswami Chowk, Tenali 492463",behlahana@kaul.com,2023,Electronics,Power Systems
Stuvan Rana,R0018,ID00018,9402927525,Rege-Vyas College,"50, Agarwal Street, Singrauli 941110",purab97@gmail.com,2022,Information Technology,Structural Design
Neysa Iyer,R0019,ID00019,9604094459,Sha-Kant College,"08/949, Mall Street, Gandhinagar 700582",yakshit34@sura.com,2024,Electrical,Software Engineering
Devansh Sule,R0020,ID00020,9474238667,"Sangha, Kaur and Jhaveri College","H.No. 570, Khurana Road, Farrukhabad-231893",tarinivarghese@sha.net,2022,Electrical,VLSI
Pranay Gokhale,R0021,ID00021,9994720523,"Sachdev, Chaudry and Sahni College","H.No. 234, Hora Marg, Aurangabad 208095",urvisachdev@hotmail.com,2022,Mechanical,Structural Design
Shanaya Gopal,R0022,ID00022,9787292723,Anand-Chaudhry College,"59/220, Gade, Durgapur 536694",dalalnakul@swaminathan.net,2023,Information Technology,Structural Design
Raunak Hari,R0023,ID00023,9721019329,"Gole, Brar and Talwar College","H.No. 26, Kamdar Nagar, Mango-745573",zoya13@yahoo.com,2024,Electronics,Software Engineering
Aarav Saraf,R0024,ID00024,9955685450,Dhawan-Sahni College,"13, Mani Zila, Panvel-582180",behladira@barad.com,2020,Electrical,Thermodynamics
Nishith Reddy,R0025,ID00025,9893046369,Bhardwaj Group College,"H.No. 85, Krishnamurthy Circle, Nadiad 414657",ahana-ahuja@yahoo.com,2022,Mechanical,Software Engineering
Emir Gopal,R0026,ID00026,9869143736,Chowdhury LLC College,"67/57, Sachdev Chowk, Bongaigaon-391109",anya30@gmail.com,2023,Electronics,Structural Design
Aradhya Bir,R0027,ID00027,9411707918,"Rege, Chaudhuri and Chandra College","79, Mangal, Patiala 261692",parinaazdoctor@gade.com,2024,Civil,Power Systems
Hiran Gupta,R0028,ID00028,9696939646,Kala-Trivedi College,"83/49, Kapadia Nagar, Muzaffarnagar 051100",chawlaahana@kalla.com,2022,Mechanical,Networking
Emir Ramaswamy,R0029,ID00029,9670521594,"Dave, Jha and Sama College","66/488, Cherian Path, Pune 884368",manderkhushi@hotmail.com,2024,Electrical,Structural Design
Nayantara Ahuja,R0030,ID00030,9296175262,"Ahuja, Varma and Divan College","33/18, Lal Road, Kollam 593055",lavanyabhasin@mani-rege.com,2022,Computer Science,Thermodynamics
Saira Sekhon,R0031,ID00031,9931211052,Rege Group College,"H.No. 21, Dar Path, Aizawl-581402",shayakramanathan@tak.com,2020,Information Technology,Thermodynamics
Indrans Master,R0032,ID00032,9616160483,Dugar-Taneja College,"07/92, Bajaj Street, Nizamabad-785614",vbahri@iyengar.org,2025,Electronics,Networking
Kartik Wagle,R0033,ID00033,9517463773,"Chad, Chana and Golla College","41/67, Thaman Ganj, Dewas-538853",ratikonda@gole.com,2021,Electronics,Thermodynamics
Adira Iyengar,R0034,ID00034,9669114517,Gulati and Sons College,"H.No. 774, Lanka Nagar, Anand-896754",borabiju@wali.com,2022,Electrical,Structural Design
Divit Sinha,R0035,ID00035,9734202704,Choudhary-Tailor College,"45, Thaker Zila, Amravati 164571",bakshiromil@devi.com,2020,Computer Science,VLSI
Gokul Ramanathan,R0036,ID00036,9568589502,Shenoy-Kalita College,"H.No. 147, Jhaveri Circle, Dharmavaram-587250",trisha75@sharma.biz,2024,Civil,Power Systems
Yakshit Hayer,R0037,ID00037,9598079984,Wable-Bandi College,"H.No. 266, Chopra Ganj, Karnal 095591",himmat95@dewan.com,2021,Mechanical,VLSI
Kavya Zachariah,R0038,ID00038,9490524528,Sane-Ben College,"00, Talwar, Bhopal-475704",wtaneja@chacko.biz,2020,Computer Science,Thermodynamics
Lavanya Ray,R0039,ID00039,9459946243,"Salvi, Warrior and Bhandari College","H.No. 61, Chaudhary, Saharsa-977892",aradhyasubramanian@sekhon.com,2020,Computer Science,Structural Design
Ivana Sarraf,R0040,ID00040,9792018013,Ganguly and Sons College,"32/472, Rajagopal Zila, Allahabad-407408",ramaela@yahoo.com,2024,Computer Science,Software Engineering
Bhavin Borah,R0041,ID00041,9402756730,Mandal LLC College,"H.No. 58, Bhakta Ganj, Tirunelveli-310086",buchalisha@hotmail.com,2020,Information Technology,Software Engineering
Ira Kade,R0042,ID00042,9119200572,Rana-Dube College,"H.No. 712, Bahri, Vijayawada-816302",uthakkar@yahoo.com,2022,Computer Science,Structural Design
Mahika Chacko,R0043,ID00043,9232295927,"Jain, Walla and De College","H.No. 201, Choudhary Nagar, Eluru 503483",biju70@sunder-deep.net,2022,Electrical,Thermodynamics
Neysa Bhat,R0044,ID00044,9847169066,Hayer Group College,"72/969, Mammen Ganj, Surendranagar Dudhrej-651097",yashvichowdhury@gmail.com,2023,Computer Science,Power Systems
Nehmat Vig,R0045,ID00045,9178348740,"Thaman, Kaur and Barman College","47, Mallick Chowk, Ghaziabad-483381",dasguptaanvi@sood-joshi.info,2020,Electronics,Power Systems
Neelofar Dugar,R0046,ID00046,9264996405,"Raj, Desai and Magar College","55, Batta Path, Rewa 950868",advikkarpe@hotmail.com,2023,Mechanical,Thermodynamics
Parinaaz Bali,R0047,ID00047,9279571049,"Lad, Sahota and Cherian College","H.No. 10, Vig Street, Chapra 236972",ivanadeo@saraf.com,2022,Information Technology,Software Engineering
Anika D’Alia,R0048,ID00048,9193667296,"Sabharwal, Tandon and Tella College","90, Setty Zila, Dewas 058717",sehersarraf@hotmail.com,2025,Electrical,Structural Design
Mishti Khare,R0049,ID00049,9102182701,"Balasubramanian, Sarraf and Shan College","97/00, Bala Street, Patiala 087835",iedwin@gmail.com,2022,Information Technology,Thermodynamics
Trisha Sidhu,R0050,ID00050,9873066406,Ghose-Sawhney College,"H.No. 88, Ahuja Ganj, Madhyamgram-512789",kshan@bawa-bhatia.com,2021,Computer Science,VLSI
Neysa Verma,R0051,ID00051,9173235591,Wason-Anne College,"H.No. 335, Ravi Chowk, Madurai 485582",sharmasaanvi@yahoo.com,2022,Electrical,Structural Design
Kanav Contractor,R0052,ID00052,9770375591,Swaminathan-Tandon College,"44/104, Seth Path, Anand 028848",elakshi06@kale.com,2025,Mechanical,Thermodynamics
Heer Dua,R0053,ID00053,9208378065,Bajwa-Bora College,"01, Sharaf, Agra-030274",gerauthkarsh@gmail.com,2025,Electronics,Thermodynamics
Miraya Desai,R0054,ID00054,9809992118,Dara LLC College,"91/67, Sarin Marg, Jamshedpur 496630",aptenirvi@chada.biz,2022,Electronics,VLSI
Seher Balakrishnan,R0055,ID00055,9598941551,Bhavsar Ltd College,"727, Buch Path, Jalgaon 393854",maneprisha@hotmail.com,2020,Mechanical,Software Engineering
Khushi Sampath,R0056,ID00056,9239055752,"Basu, Dubey and Das College","64/382, Talwar Circle, Jaunpur-703332",rajupranay@gmail.com,2024,Civil,Networking
Aarna Anand,R0057,ID00057,9890576021,"Borah, Sibal and Thaman College","H.No. 98, Dass Street, Jabalpur 401816",ishitakrishnamurthy@yahoo.com,2024,Mechanical,Thermodynamics
Kiara Salvi,R0058,ID00058,9152765879,"Apte, Sur and Kurian College","96/204, Sarkar Circle, Kakinada-191880",jaurora@krishnamurthy.com,2022,Electrical,Structural Design
Vihaan Varkey,R0059,ID00059,9383527264,Magar-Shetty College,"254, Lall Nagar, Kochi 816584",dhaliwalsiya@bobal.com,2024,Computer Science,Networking
Mohanlal Tiwari,R0060,ID00060,9766953158,Rama Ltd College,"30, Bandi Path, Raichur-192931",bmani@hotmail.com,2024,Electrical,Networking
Nitara Ganguly,R0061,ID00061,9632654998,Kalla-Goel College,"H.No. 044, Balasubramanian Road, Bijapur 449759",ghoshsamarth@bassi-dubey.net,2022,Electronics,Networking
Aarav Shanker,R0062,ID00062,9658770421,Vohra and Sons College,"H.No. 182, Ahuja Path, Bangalore-429039",ritvikkapadia@batra-sharma.com,2022,Electronics,Thermodynamics
Oorja Chokshi,R0063,ID00063,9823559100,"Sarin, Manne and Keer College","94/862, Sachar Path, Pondicherry 989523",lkrishna@hotmail.com,2020,Information Technology,Networking
Rhea Rout,R0064,ID00064,9497862643,"D’Alia, Tak and Sharaf College","H.No. 65, Deshmukh Circle, Hapur-764951",cbajwa@deshmukh.com,2024,Electronics,Structural Design
Shalv Mahal,R0065,ID00065,9276466762,"Borra, Shenoy and Ghose College","H.No. 83, Shetty Street, Gandhidham-302664",boseanaya@hotmail.com,2025,Electrical,Thermodynamics
Jivin Keer,R0066,ID00066,9995942100,"Joshi, Bhatti and Dayal College","51/650, Kant Circle, Burhanpur-455025",aaryahizachariah@yahoo.com,2025,Computer Science,Structural Design
Urvi Sharaf,R0067,ID00067,9527467091,Hari LLC College,"767, Mane Chowk, Danapur 159059",rohan55@ben.net,2024,Mechanical,Thermodynamics
Vivaan Sahota,R0068,ID00068,9585763786,Agrawal-Chawla College,"791, Sarin Marg, Mirzapur 631198",krishnandhanush@master-ravel.com,2024,Electrical,Power Systems
Anvi Andra,R0069,ID00069,9303622744,"Sethi, Basu and Kota College","81, Bawa Ganj, Malda-563850",kantjivin@yahoo.com,2020,Computer Science,Structural Design
Anvi Lalla,R0070,ID00070,9989744153,Gandhi-Bera College,"90, Ramanathan Ganj, Danapur-776424",mbhakta@acharya.com,2025,Computer Science,Power Systems
Neelofar Lalla,R0071,ID00071,9936546646,"Dasgupta, Balakrishnan and Chokshi College","26/26, Bera, Navi Mumbai-707015",samarbhatnagar@gmail.com,2020,Information Technology,Software Engineering
