Student Name,Roll No,ID,Mobile Number,College Name,Address,Email ID,Passing Year,Branch,Trade,Total Marks,CGPA,Grade
Ryan Suri,R0001,ID00001,9178692985,"Raju, Kala and Mallick College","02/42, Chadha Marg, Bhiwani-245289",csoni@sandhu-sodhi.org,2025,Electronics,Power Systems,439,9.83,A+
Kanav Shere,R0002,ID00002,9665863979,Sura PLC College,"10/971, D’Alia Chowk, Ichalkaranji-431293",yasmin74@gmail.com,2025,Information Technology,VLSI,554,8.6,A
Zeeshan Chaudhary,R0003,ID00003,9393193637,Suri-Kapur College,"82/179, Kakar Circle, Rourkela-957399",devananvi@gmail.com,2022,Information Technology,Structural Design,512,6.52,C
Oorja Guha,R0004,ID00004,9857644050,Tata-Bera College,"87/034, Chawla Marg, Muzaffarpur 893277",keerjivin@yahoo.com,2023,Information Technology,Thermodynamics,573,7.56,B
Jivika Vora,R0005,ID00005,9250461916,Chada Inc College,"12/41, Saran Path, Ichalkaranji-936464",zara10@bhattacharyya.com,2024,Electrical,Thermodynamics,493,6.99,C
Tanya Golla,R0006,ID00006,9882850678,Thaman and Sons College,"H.No. 822, Sathe Marg, Surendranagar Dudhrej 079952",saanvi24@master.com,2023,Mechanical,Power Systems,418,6.92,C
Mishti Balay,R0007,ID00007,9785034007,Hora-Sehgal College,"H.No. 705, Dani Circle, Dibrugarh 792317",ambleehsaan@gmail.com,2020,Electronics,Software Engineering,439,6.95,C
Prisha Divan,R0008,ID00008,9591362265,Loyal-Sant College,"H.No. 520, Butala Chowk, Moradabad-426061",bray@gmail.com,2023,Civil,Networking,550,6.43,C
Piya Dugar,R0009,ID00009,9852642743,"Batta, Dixit and Kant College","67/708, Comar Marg, Hazaribagh 159501",ryan76@yahoo.com,2024,Civil,Thermodynamics,407,8.13,A
Kashvi Kant,R0010,ID00010,9715343623,Keer PLC College,"54/242, Chopra Path, Arrah-455996",drishya04@gmail.com,2024,Electronics,VLSI,426,8.88,A
Zain Wason,R0011,ID00011,9813458742,Mahal-Karnik College,"93, Chauhan Nagar, Sangli-Miraj & Kupwad 183885",mdhar@yahoo.com,2020,Mechanical,Thermodynamics,476,8.13,A
